playerID	nameFirst	nameLast	debut	finalGame		
stevero01	Robert	Stevens	1875-05-04	1875-05-04		
rocapad01	Adam	Rocap	1875-05-05	1875-10-28		
mcsortr01	Trick	McSorley	1875-05-06	1886-05-06		
carbijo01	John	Carbine	1875-05-08	1876-06-01		
dillojo01	John	Dillon	1875-05-08	1875-05-08		
ellicjo01	Joe	Ellick	1875-05-13	1884-10-11		
harbibi01	Bill	Harbridge	1875-05-15	1884-10-03		
sulli01		Sullivan	1875-05-15	1875-05-17		
keenaji01	Jim	Keenan	1875-05-17	1891-10-03		
fieldsa01	Sam	Field	1875-05-19	1876-05-10		
sewarge01	George	Seward	1875-05-19	1882-08-08		
harriri01	Rit	Harrison	1875-05-20	1875-05-20		
galvipu01	Pud	Galvin	1875-05-22	1892-08-02		
mcclobi01	Bill	McCloskey	1875-05-25	1884-09-09		
waittch01	Charlie	Waitt	1875-05-25	1883-09-18		
dolele01	Lester	Dole	1875-05-27	1875-05-27		
metcaal01	Alfred	Metcalfe	1875-05-27	1875-06-17		
evans01		Evans	1875-06-01	1875-06-01		
heifefr01	Frank	Heifer	1875-06-03	1875-09-09		
lowryjo01	John	Lowry	1875-06-26	1875-07-04		
mooremo01	Molly	Moore	1875-06-30	1875-10-09		
withech01	Charles	Witherow	1875-07-01	1875-07-01		
arundha01	Harry	Arundel	1875-07-19	1884-10-10		
bushodo01	Doc	Bushong	1875-07-19	1890-09-09		
fulmewa01	Washington	Fulmer	1875-07-19	1875-07-19		
helli01		Hellings	1875-07-19	1875-07-19		
bordejo01	Joe	Borden	1875-07-24	1876-07-15		
oneilj01	Hugh	O'Neil	1875-08-20	1875-10-09		
foleywi01	Will	Foley	1875-08-23	1884-05-22		
bolan01		Boland	1875-09-04	1875-09-04		
coonwi01	William	Coon	1875-09-04	1876-09-16		
knighlo01	Lon	Knight	1875-09-04	1885-10-10		
munnho01	Horatio	Munn	1875-09-04	1875-09-04		
quinnpa01		Quinn	1875-09-09	1875-09-17		
edwar01		Edwards	1875-09-11	1875-09-11		
